,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
98,69589700,False,Программист Java,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-10-04T12:52:45+0300,2022-10-04T12:52:45+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69589700,,https://api.hh.ru/vacancies/69589700?host=hh.ru,https://api.hh.ru/vacancies/69589700/adv_response?host=hh.ru,https://hh.ru/vacancy/69589700,[],"{'id': '24209', 'name': 'СберЛизинг', 'url': 'https://api.hh.ru/employers/24209', 'alternate_url': 'https://hh.ru/employer/24209', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/778105.png', '240': 'https://hhcdn.ru/employer-logo/3553312.png', '90': 'https://hhcdn.ru/employer-logo/3553311.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=24209', 'trusted': True}","{'requirement': 'Java 8+ (Core, Multithreading, JVM). Spring Boot. Опыт работы с реляционными БД (Oracle) Hibernate, Liquibase. Понимание принципов DevOps, опыт...', 'responsibility': 'Разрабатывать алгоритмы, уберегающие банк от финансовых убытков. Декомпозировать монолитное приложение на микромодули и микросервисы. Работать с межмодульным транспортом. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
99,70684620,False,Lead Data Scientist (Разработчик AI/ML),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '1-й Нагатинский проезд', 'building': '10', 'description': None, 'lat': 55.678418, 'lng': 37.632278, 'raw': 'Москва, 1-й Нагатинский проезд, 10', 'metro': {'station_name': 'Нагатинская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.85', 'line_id': '9', 'lat': 55.682099, 'lng': 37.620917}, 'metro_stations': [{'station_name': 'Нагатинская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.85', 'line_id': '9', 'lat': 55.682099, 'lng': 37.620917}], 'id': '495644'}",,,2022-10-03T13:04:22+0300,2022-10-03T13:04:22+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70684620,,https://api.hh.ru/vacancies/70684620?host=hh.ru,https://api.hh.ru/vacancies/70684620/adv_response?host=hh.ru,https://hh.ru/vacancy/70684620,[],"{'id': '86547', 'name': 'Промышленные инновации', 'url': 'https://api.hh.ru/employers/86547', 'alternate_url': 'https://hh.ru/employer/86547', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=86547', 'trusted': True}","{'requirement': 'Опыт работы в должности <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> или <highlighttext>аналитик</highlighttext> данных. Знание основных библиотек и фреймворков машинного обучения (sklearn, scipy, numpy, pyspark...', 'responsibility': 'Выполнение функций <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>-а при реализации проектов по предиктивной <highlighttext>аналитике</highlighttext> на промышленных предприятиях: Анализ производственных процессов и выработка требований...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
100,67488445,False,Senior Data Scientist,,False,False,"{'id': '88', 'name': 'Казань', 'url': 'https://api.hh.ru/areas/88'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T11:25:02+0300,2022-10-03T11:25:02+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=67488445,,https://api.hh.ru/vacancies/67488445?host=hh.ru,https://api.hh.ru/vacancies/67488445/adv_response?host=hh.ru,https://hh.ru/vacancy/67488445,[],"{'id': '156424', 'name': 'ICL Services', 'url': 'https://api.hh.ru/employers/156424', 'alternate_url': 'https://hh.ru/employer/156424', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3816528.png', '90': 'https://hhcdn.ru/employer-logo/3816527.png', 'original': 'https://hhcdn.ru/employer-logo-original/843913.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=156424', 'trusted': True}","{'requirement': 'Владение техниками и алгоритмами машинного обучения, фокус на прогнозную <highlighttext>аналитику</highlighttext> (Predictive Analytics) и работу с естественным языком (NLP). ', 'responsibility': 'Исследовать данные. Работать с видео и текстом. Прогнозировать, классифицировать, сегментировать. Автоматизировать выявление мошенничества. Выводить модели в прод. И многое другое...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
101,68645720,False,Риск-аналитик (розничные риски),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T10:11:18+0300,2022-10-03T10:11:18+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=68645720,,https://api.hh.ru/vacancies/68645720?host=hh.ru,https://api.hh.ru/vacancies/68645720/adv_response?host=hh.ru,https://hh.ru/vacancy/68645720,[],"{'id': '47939', 'name': 'Ак Барс Банк', 'url': 'https://api.hh.ru/employers/47939', 'alternate_url': 'https://hh.ru/employer/47939', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3278176.png', '240': 'https://hhcdn.ru/employer-logo/3278177.png', 'original': 'https://hhcdn.ru/employer-logo-original/709265.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=47939', 'trusted': True}","{'requirement': 'Математическое, экономико-математическое/техническое образование. Опыт работы риск-<highlighttext>аналитиком</highlighttext> от 6 месяцев. Отличные технические навыки работы с данными (SQL, Python...', 'responsibility': ""Составление отчетов по качеству кредитного портфеля (defolt rate, approve rate, NPL и т.п.). Тесная работа с <highlighttext>data</highlighttext> <highlighttext>scientist</highlighttext>'ми...""}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
102,68645572,False,Портфельный риск-менеджер(автокредитование),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T10:11:29+0300,2022-10-03T10:11:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=68645572,,https://api.hh.ru/vacancies/68645572?host=hh.ru,https://api.hh.ru/vacancies/68645572/adv_response?host=hh.ru,https://hh.ru/vacancy/68645572,[],"{'id': '47939', 'name': 'Ак Барс Банк', 'url': 'https://api.hh.ru/employers/47939', 'alternate_url': 'https://hh.ru/employer/47939', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3278176.png', '240': 'https://hhcdn.ru/employer-logo/3278177.png', 'original': 'https://hhcdn.ru/employer-logo-original/709265.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=47939', 'trusted': True}","{'requirement': 'Высшее профессиональное (Математическое, экономико-математическое/техническое). От 2-х лет на аналогичной позиции в банке. Опыт по построению системы принятия...', 'responsibility': '...rate, approve rate, NPL и тп). Ставить задачи <highlighttext>аналитикам</highlighttext> и <highlighttext>data</highlighttext> <highlighttext>scientist</highlighttext>’ам. Написание БТ технологам, внутренние документы. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
103,70846650,False,Client Service Executive,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-10-06T11:23:55+0300,2022-10-06T11:23:55+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70846650,,https://api.hh.ru/vacancies/70846650?host=hh.ru,https://api.hh.ru/vacancies/70846650/adv_response?host=hh.ru,https://hh.ru/vacancy/70846650,[],"{'id': '257', 'name': 'NielsenIQ', 'url': 'https://api.hh.ru/employers/257', 'alternate_url': 'https://hh.ru/employer/257', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/830396.png', '90': 'https://hhcdn.ru/employer-logo/3762467.png', '240': 'https://hhcdn.ru/employer-logo/3762468.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=257', 'trusted': True}","{'requirement': '<highlighttext>Data</highlighttext>-driven background from university or previous work will be an advantage (economics, analytics, <highlighttext>data</highlighttext> processing, marketing). Good communication skills...', 'responsibility': 'Provides direct support to clients / client service organization in case a client raises a <highlighttext>data</highlighttext> quality issue. Ensures relevant actions...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
104,70581475,False,Senior Data Scientist,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-30T14:25:22+0300,2022-09-30T14:25:22+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70581475,,https://api.hh.ru/vacancies/70581475?host=hh.ru,https://api.hh.ru/vacancies/70581475/adv_response?host=hh.ru,https://hh.ru/vacancy/70581475,[],"{'id': '2501', 'name': 'ЕвроХим, Минерально-Химическая Компания', 'url': 'https://api.hh.ru/employers/2501', 'alternate_url': 'https://hh.ru/employer/2501', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/232368.jpg', '240': 'https://hhcdn.ru/employer-logo/382309.jpeg', '90': 'https://hhcdn.ru/employer-logo/309452.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2501', 'trusted': True}","{'requirement': 'Опыт работы ведущим/старшим дата <highlighttext>аналитиком</highlighttext> (senior/middle <highlighttext>data</highlighttext> <highlighttext>scientist</highlighttext>) не менее 5-ти лет. Опыт разработки и согласования технической...', 'responsibility': 'Полный цикл разработки моделей глубокого обучения. Анализ требований заказчика и участие в разработке технических требований. Участие в постановке задач разработчикам...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
105,70574147,False,Data Scientist middle+,"{'id': '3529-3529-prof', 'name': 'Сбер для экспертов'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-30T12:04:51+0300,2022-09-30T12:04:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70574147,,https://api.hh.ru/vacancies/70574147?host=hh.ru,https://api.hh.ru/vacancies/70574147/adv_response?host=hh.ru,https://hh.ru/vacancy/70574147,[],"{'id': '3529', 'name': 'СБЕР', 'url': 'https://api.hh.ru/employers/3529', 'alternate_url': 'https://hh.ru/employer/3529', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/868362.JPG', '90': 'https://hhcdn.ru/employer-logo/3914323.jpeg', '240': 'https://hhcdn.ru/employer-logo/3914324.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3529', 'trusted': True}","{'requirement': 'Хорошие знания Python 3. Опыт работа с Pandas, SQL, Spark/PySpark, Hive и др. инструментами для анализа малых и больших...', 'responsibility': 'Обсуждение задач и методов их решения совместно с фрод-<highlighttext>аналитиками</highlighttext> и бизнес-заказчиками, формулирование гипотез и их проверка. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
106,69256420,False,"Middle data scientist, команда разработки моделей для розничного бизнеса",,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Пресненская набережная', 'building': '10', 'description': None, 'lat': 55.746963, 'lng': 37.536356, 'raw': 'Москва, Пресненская набережная, 10', 'metro': {'station_name': 'Выставочная', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}, 'metro_stations': [{'station_name': 'Выставочная', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}, {'station_name': 'Деловой центр', 'line_name': 'Солнцевская', 'station_id': '133.468', 'line_id': '133', 'lat': 55.7491, 'lng': 37.5395}, {'station_name': 'Международная', 'line_name': 'Филевская', 'station_id': '4.179', 'line_id': '4', 'lat': 55.748324, 'lng': 37.533282}], 'id': '690692'}",,,2022-09-30T10:39:25+0300,2022-09-30T10:39:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69256420,,https://api.hh.ru/vacancies/69256420?host=hh.ru,https://api.hh.ru/vacancies/69256420/adv_response?host=hh.ru,https://hh.ru/vacancy/69256420,[],"{'id': '4181', 'name': 'Банк ВТБ (ПАО)', 'url': 'https://api.hh.ru/employers/4181', 'alternate_url': 'https://hh.ru/employer/4181', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2369889.png', '90': 'https://hhcdn.ru/employer-logo/2369888.png', 'original': 'https://hhcdn.ru/employer-logo-original/482009.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4181', 'trusted': True}","{'requirement': 'Опыт написания ТЗ, БТ, проектной документации о реализованных моделях. Наличие статей по <highlighttext>data</highlighttext> science – плюс. Способность поддержки full-stack разработки...', 'responsibility': 'Прогнозирование уровня удовлетворенности клиентов сервисами банка и каналами взаимодействия с банком. <highlighttext>Аналитика</highlighttext> точек продаж, анализ инвестиционного риск-аппетита клиентов. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
107,69572674,False,Data scientist (команда NLP & Time Series),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Московское центральное кольцо', 'building': 'станция Деловой центр', 'description': None, 'lat': 55.747809, 'lng': 37.531963, 'raw': 'Москва, Московское центральное кольцо, станция Деловой центр', 'metro': {'station_name': 'Выставочная', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}, 'metro_stations': [{'station_name': 'Выставочная', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}], 'id': '1262628'}",,,2022-09-30T09:52:24+0300,2022-09-30T09:52:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69572674,,https://api.hh.ru/vacancies/69572674?host=hh.ru,https://api.hh.ru/vacancies/69572674/adv_response?host=hh.ru,https://hh.ru/vacancy/69572674,[],"{'id': '4181', 'name': 'Банк ВТБ (ПАО)', 'url': 'https://api.hh.ru/employers/4181', 'alternate_url': 'https://hh.ru/employer/4181', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2369889.png', '90': 'https://hhcdn.ru/employer-logo/2369888.png', 'original': 'https://hhcdn.ru/employer-logo-original/482009.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4181', 'trusted': True}","{'requirement': 'Высшее физико-математическое / техническое / экономическое образование. Основы линейной алгебры, методов оптимизации, теории вероятностей и математической статистики. Основы машинного обучения и...', 'responsibility': 'саммаризация новостей (text summarization). - объединение новостей в сюжеты. - предиктивная <highlighttext>аналитика</highlighttext> и финансовый мониторинг (nlp & time series forecasting). Маркетинг: - unsupervised мониторинг...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
